timestamp,data_type,symbol,company_name,sector,open,high,low,price,volume,latest_trading_day,previous_close,change,change_percent,day_range,volatility,market_cap_estimate,risk_rating,technical_indicators
2025-05-26T15:20:05.088377,stock_quote,IFC.TO,Intact Financial Corporation,Insurance/Financial,302.52,304.74,302.39,302.8,127300,2025-05-23,303.48,-0.68,-0.2241,302.3900 - 304.7400,0.22406748385396075,Large Cap (>$10B),Low,"{'day_range_percent': 0.7771421012599699, 'position_in_range': 17.446808510639194, 'momentum': 'bearish'}"
2025-05-26T15:20:18.242254,stock_quote,FFH.TO,Fairfax Financial Holdings,Insurance/Financial,2295.4199,2303.22,2278.8999,2298.01,25800,2025-05-23,2297.96,0.05,0.0022,2278.8999 - 2303.2200,0.0021758429215478076,Large Cap (>$10B),Low,"{'day_range_percent': 1.0671859698620336, 'position_in_range': 78.57739071796745, 'momentum': 'bullish'}"
2025-05-26T15:20:31.300569,stock_quote,MFC.TO,Manulife Financial Corp,Insurance/Financial,42.49,42.95,42.29,42.83,13037300,2025-05-23,42.94,-0.11,-0.2562,42.2900 - 42.9500,0.256171401956218,Large Cap (>$10B),Low,"{'day_range_percent': 1.5606526365571145, 'position_in_range': 81.81818181818123, 'momentum': 'bearish'}"
2025-05-26T15:20:44.378635,stock_quote,SLF.TO,Sun Life Financial Inc,Insurance/Financial,86.97,87.71,86.73,87.32,2313300,2025-05-23,87.54,-0.22,-0.2513,86.7300 - 87.7100,0.25131368517249253,Large Cap (>$10B),Low,"{'day_range_percent': 1.129943502824847, 'position_in_range': 60.20408163265258, 'momentum': 'bearish'}"
2025-05-26T15:20:57.583407,stock_quote,POW.TO,Power Corporation of Canada,Insurance/Financial,50.74,50.99,50.67,50.89,674800,2025-05-23,50.95,-0.06,-0.1178,50.6700 - 50.9900,0.11776251226692834,Mid Cap ($2B-$10B),Low,"{'day_range_percent': 0.631537398855339, 'position_in_range': 68.74999999999959, 'momentum': 'bearish'}"
2025-05-26T15:21:10.911217,stock_quote,GWO.TO,Great-West Lifeco Inc,Insurance/Financial,51.48,51.86,51.4,51.46,1583600,2025-05-23,51.53,-0.07,-0.1358,51.4000 - 51.8600,0.13584319813700757,Mid Cap ($2B-$10B),Low,"{'day_range_percent': 0.8949416342412468, 'position_in_range': 13.043478260870037, 'momentum': 'bearish'}"
2025-05-26T15:21:24.042312,stock_quote,IAG.TO,iA Financial Corporation,Insurance/Financial,138.15,139.58,138.15,138.89,558900,2025-05-23,140.09,-1.2,-0.8566,138.1500 - 139.5800,0.8565921907345277,Mid Cap ($2B-$10B),Low,"{'day_range_percent': 1.0351067680057957, 'position_in_range': 51.748251748250155, 'momentum': 'bearish'}"
